scenario	requested_bytes	observed_latency_ms	channel	corr	total_ms	queue_ms	translate_ms	exec_ms	format_ms	finalize_ms	egress_ms	egress_enqueue_ms	egress_queue_ms	egress_prepare_ms	egress_write_ms	frame_bytes	writer_queue_depth	writer_active	writer_queue_full	reserve_timeouts
cpu-saturation	262144	6.652	1	800000	6.519	4.608	0.013	0.097	0.300	0.010	1.232	0.892	0.004	0.031	0.304	786782	1	false	false	0
cpu-saturation	4096	15.073	2	800001	14.992	14.603	0.012	0.004	0.014	0.002	0.078	0.041	0.004	0.001	0.032	12632	1	false	false	0
cpu-saturation	4096	25.197	3	800002	25.057	24.624	0.016	0.005	0.009	0.002	0.120	0.040	0.004	0.001	0.074	12632	1	false	false	0
cpu-saturation	4096	35.242	4	800003	35.080	34.667	0.014	0.005	0.008	0.002	0.121	0.040	0.004	0.001	0.076	12632	1	false	false	0
cpu-saturation	262144	47.053	5	800004	46.903	44.683	0.013	0.065	0.268	0.002	1.607	1.292	0.005	0.031	0.279	786782	1	false	false	0
cpu-saturation	4096	55.149	6	800005	55.058	54.705	0.011	0.004	0.008	0.002	0.058	0.033	0.003	0.001	0.021	12632	1	false	false	0
cpu-saturation	4096	65.313	7	800006	65.120	64.742	0.011	0.004	0.008	0.001	0.081	0.036	0.004	0.001	0.041	12632	1	false	false	0
cpu-saturation	4096	75.184	8	800007	75.088	74.747	0.006	0.003	0.006	0.001	0.048	0.033	0.003	0.001	0.012	12632	1	false	false	0
cpu-saturation	262144	86.826	1	800008	86.703	84.785	0.013	0.037	0.268	0.002	1.318	1.006	0.005	0.031	0.275	786782	1	false	false	0
cpu-saturation	4096	95.449	2	800009	95.270	94.830	0.013	0.005	0.008	0.002	0.127	0.040	0.005	0.001	0.081	12632	1	false	false	0
cpu-saturation	4096	105.729	3	800010	105.519	105.078	0.012	0.005	0.008	0.002	0.127	0.044	0.004	0.001	0.078	12632	1	false	false	0
cpu-saturation	4096	129.496	4	800011	129.361	129.007	0.014	0.003	0.004	0.001	0.063	0.034	0.003	0.000	0.026	12632	1	false	false	0
cpu-saturation	262144	130.449	5	800012	130.346	129.189	0.002	0.048	0.108	0.000	0.729	0.378	0.001	0.022	0.329	786782	1	false	false	0
cpu-saturation	4096	147.434	6	800013	147.234	146.778	0.020	0.008	0.011	0.003	0.138	0.047	0.007	0.001	0.083	12632	1	false	false	0
cpu-saturation	4096	154.730	7	800014	154.610	154.222	0.013	0.003	0.004	0.001	0.089	0.049	0.005	0.001	0.033	12632	1	false	false	0
cpu-saturation	4096	154.836	8	800015	154.699	154.257	0.002	0.001	0.002	0.000	0.155	0.140	0.003	0.001	0.011	12632	1	false	false	0
cpu-saturation	262144	155.576	1	800016	155.337	154.270	0.002	0.050	0.107	0.000	0.625	0.481	0.003	0.023	0.118	786782	1	false	false	0
cpu-saturation	4096	155.657	2	800017	155.385	154.435	0.002	0.002	0.003	0.000	0.656	0.648	0.001	0.000	0.008	12632	1	false	false	0
cpu-saturation	4096	155.728	3	800018	155.409	154.444	0.001	0.002	0.002	0.000	0.666	0.659	0.001	0.000	0.006	12632	1	false	false	0
cpu-saturation	4096	155.803	4	800019	155.431	154.460	0.001	0.001	0.002	0.000	0.670	0.663	0.001	0.000	0.006	12632	1	false	false	0
cpu-saturation	262144	156.049	5	800020	155.931	154.473	0.001	0.028	0.134	0.000	0.996	0.882	0.002	0.013	0.099	786782	1	false	false	0
cpu-saturation	4096	156.134	6	800021	155.950	154.641	0.001	0.001	0.002	0.000	1.022	1.010	0.001	0.000	0.011	12632	1	false	false	0
cpu-saturation	4096	156.213	7	800022	155.971	154.653	0.001	0.002	0.003	0.000	1.027	1.018	0.001	0.000	0.007	12632	1	false	false	0
cpu-saturation	4096	156.392	8	800023	156.289	154.664	0.001	0.001	0.003	0.000	1.333	1.314	0.004	0.001	0.014	12632	1	false	false	0
cpu-saturation	262144	157.592	1	800024	157.414	154.670	0.001	0.013	0.092	0.000	2.345	2.055	0.003	0.032	0.254	786782	1	false	false	0
cpu-saturation	4096	157.683	2	800025	157.498	154.780	0.001	0.001	0.002	0.000	2.423	2.409	0.003	0.001	0.011	12632	1	false	false	0
cpu-saturation	4096	157.778	3	800026	157.637	154.788	0.001	0.001	0.003	0.000	2.551	2.538	0.002	0.001	0.010	12632	1	false	false	0
cpu-saturation	4096	157.945	4	800027	157.839	154.798	0.001	0.002	0.002	0.000	2.742	2.730	0.002	0.001	0.009	12632	1	false	false	0
cpu-saturation	262144	159.059	5	800028	158.888	154.807	0.001	0.023	0.092	0.000	3.668	3.446	0.003	0.031	0.188	786782	1	false	false	0
cpu-saturation	4096	159.187	6	800029	158.980	154.930	0.001	0.001	0.004	0.000	3.746	3.727	0.002	0.001	0.016	12632	1	false	false	0
cpu-saturation	4096	159.274	7	800030	159.047	154.937	0.001	0.001	0.003	0.000	3.800	3.788	0.002	0.001	0.009	12632	1	false	false	0
cpu-saturation	4096	159.387	8	800031	159.227	154.946	0.001	0.001	0.003	0.000	3.990	3.978	0.002	0.001	0.010	12632	1	false	false	0
cpu-saturation	262144	160.801	1	800032	160.327	154.795	0.004	0.029	0.093	0.000	5.246	4.990	0.004	0.031	0.220	786782	1	false	false	0
cpu-saturation	4096	160.902	2	800033	160.438	154.922	0.002	0.001	0.002	0.000	5.341	5.321	0.003	0.001	0.016	12632	1	false	false	0
cpu-saturation	4096	161.071	3	800034	160.661	154.933	0.001	0.001	0.003	0.000	5.550	5.538	0.002	0.001	0.009	12632	1	false	false	0
cpu-saturation	4096	161.164	4	800035	160.718	154.939	0.002	0.001	0.004	0.000	5.598	5.586	0.002	0.001	0.009	12632	1	false	false	0
cpu-saturation	262144	162.373	5	800036	161.911	154.942	0.001	0.033	0.119	0.000	6.637	6.419	0.003	0.031	0.184	786782	1	false	false	0
cpu-saturation	4096	162.473	6	800037	161.991	155.107	0.001	0.002	0.002	0.000	6.696	6.681	0.003	0.001	0.012	12632	1	false	false	0
cpu-saturation	4096	162.581	7	800038	162.172	155.144	0.034	0.005	0.014	0.002	6.786	6.736	0.040	0.001	0.010	12632	1	false	false	0
cpu-saturation	4096	162.712	8	800039	162.316	155.424	0.008	0.003	0.007	0.001	6.684	6.523	0.151	0.001	0.009	12632	2	false	false	0
cpu-saturation	262144	167.572	1	800040	167.113	165.453	0.011	0.031	0.337	0.002	1.087	0.810	0.004	0.034	0.240	786782	1	false	false	0
cpu-saturation	4096	177.807	2	800041	177.317	176.964	0.013	0.005	0.009	0.002	0.130	0.051	0.004	0.001	0.074	12632	1	false	false	0
cpu-saturation	4096	187.761	3	800042	187.332	187.011	0.012	0.004	0.008	0.001	0.093	0.044	0.004	0.001	0.045	12632	1	false	false	0
cpu-saturation	4096	200.916	4	800043	200.487	200.190	0.007	0.003	0.006	0.001	0.075	0.040	0.003	0.001	0.031	12632	1	false	false	0
cpu-saturation	262144	213.104	5	800044	212.368	210.219	0.006	0.030	0.266	0.001	1.640	1.271	0.004	0.031	0.335	786782	1	false	false	0
cpu-saturation	4096	223.504	6	800045	222.420	222.151	0.027	0.003	0.004	0.001	0.055	0.028	0.002	0.000	0.024	12632	1	false	false	0
cpu-saturation	4096	247.416	7	800046	246.934	240.477	0.015	0.005	0.009	0.002	6.244	6.190	0.005	0.001	0.048	12632	1	false	false	0
cpu-saturation	4096	251.493	8	800047	250.913	250.611	0.006	0.003	0.006	0.001	0.101	0.071	0.002	0.001	0.027	12632	1	false	false	0
